TotalXGBand,Matches,ActualDraws,PredictedDraws,MeanTotalXG,MeanXGGap,MeanDrawProbability,MeanDrawMarginToTop,ActualDrawPct,PredictedDrawPct,MeanDrawProbabilityPct,MeanDrawMarginToTopPct
<1.5,0,0,0,,,,,,,,
1.5-2.0,1,0,0,1.8137847450953273,0.3077220223894622,0.321699884208943,-0.10088698325306211,0.0,0.0,32.1699884208943,-10.088698325306211
2.0-2.5,21,2,0,2.417436042382333,0.2559071855070133,0.270567567286309,-0.155300375799369,9.523809523809524,0.0,27.056756728630898,-15.5300375799369
2.5-3.0,733,186,0,2.8003562072675323,0.45751205869795114,0.24246696902069478,-0.2372785871160478,25.375170532060025,0.0,24.246696902069477,-23.727858711604778
3.0-3.5,296,74,0,3.1696626648176123,0.9236674554287697,0.20542646137667891,-0.3782251604619955,25.0,0.0,20.54264613766789,-37.82251604619955
3.5-4.0,40,6,0,3.652929146539839,1.906557120870995,0.13765284586063428,-0.6268485455322771,15.0,0.0,13.765284586063428,-62.68485455322771
4.0+,9,0,0,4.135341207906094,2.655697159328949,0.09056884472439614,-0.7705758252890218,0.0,0.0,9.056884472439613,-77.05758252890217
