Season,Matches,DrawMultiplier,Model2Accuracy,Model3BAccuracy,Model2LogLoss,Model3BLogLoss,Model2Brier,Model3BBrier,ActualDraws,Model2PredictedDraws,Model3BPredictedDraws,Model3BDrawRecall
2023/24,360,0.9823936388232304,54.72222222222223,54.72222222222223,0.9726136302884723,0.972584226613739,0.5772690074943776,0.5772360593949105,79,0,0,0.0
2024/25,370,0.9819763408364429,52.43243243243243,52.43243243243243,1.0003249513210972,1.0005701221025276,0.5986481558313196,0.5987525778609137,88,0,0,0.0
2025/26,370,1.0117021550666192,49.45945945945946,49.45945945945946,1.037461772706148,1.0370375670461973,0.6232653951543644,0.6230473679674737,101,0,0,0.0
