XGGapBand,Matches,ActualDraws,PredictedDraws,MeanHomeXG,MeanAwayXG,MeanXGGap,MeanTotalXG,MeanDrawProbability,MeanDrawMarginToTop,ActualDrawPct,PredictedDrawPct,MeanDrawProbabilityPct,MeanDrawMarginToTopPct
0.00-0.10,134,35,0,1.409307296489569,1.4046781553917067,0.054047811974925246,2.8139854518812757,0.2526748052779153,-0.13320137516251235,26.119402985074625,0.0,25.26748052779153,-13.320137516251235
0.10-0.20,99,27,0,1.4086007863339074,1.390192746507908,0.14654723487601493,2.7987935328418154,0.2526931104669935,-0.15418831472903624,27.27272727272727,0.0,25.26931104669935,-15.418831472903625
0.20-0.30,91,22,0,1.4157395670710908,1.3974758206735605,0.2518386616816959,2.8132153877446515,0.2502845674126745,-0.18147509865561418,24.175824175824175,0.0,25.02845674126745,-18.147509865561418
0.30-0.50,206,50,0,1.4501825163586948,1.3474414892780222,0.39596023497296207,2.7976240056367168,0.24779604836771602,-0.2175708001631904,24.271844660194176,0.0,24.7796048367716,-21.757080016319037
0.50-0.75,198,48,0,1.5358524527305875,1.3470671425558438,0.6186531343505502,2.882919595286431,0.23602899679586078,-0.28228380983772466,24.242424242424242,0.0,23.602899679586077,-28.228380983772468
0.75-1.00,135,34,0,1.5969800159408625,1.3528274653250956,0.8694391323884562,2.949807481265958,0.2211034120629789,-0.3552792985864359,25.185185185185183,0.0,22.11034120629789,-35.52792985864359
1.00-1.50,153,39,0,1.890061099174076,1.211640275100991,1.2061809226272218,3.101701374275067,0.19587264920940692,-0.4529540526400608,25.49019607843137,0.0,19.58726492094069,-45.29540526400608
1.50+,84,13,0,2.4991097824727833,1.0333458274072906,1.951883853675068,3.532455609880074,0.13822895629684373,-0.6386530360065332,15.476190476190476,0.0,13.822895629684373,-63.86530360065332
