Date,HomeTeam,AwayTeam,FBrefHomeXG,FBrefAwayXG,UnderstatHomeXG,UnderstatAwayXG,MappedHomeXG,MappedAwayXG,HomeResidual,AwayResidual,TotalAbsoluteResidual
2024-08-16,Man United,Fulham,2.4,0.4,2.04268,0.418711,1.7732798747082217,0.4623155386977232,0.6267201252917782,-0.06231553869772316,0.6890356639895014
2024-08-17,Arsenal,Wolves,1.2,0.5,1.6283,0.575835,1.4389069390045488,0.58937708487736,-0.23890693900454885,-0.08937708487735996,0.3282840238819088
2024-08-17,Everton,Brighton,0.5,1.4,0.405325,1.79083,0.4520597430921026,1.5719077186476804,0.04794025690789738,-0.1719077186476805,0.2198479755555779
2024-08-17,Ipswich,Liverpool,0.5,2.6,0.342601,3.92906,0.40144627714520076,3.301031276396241,0.09855372285479924,-0.701031276396241,0.7995849992510402
2024-08-17,Newcastle,Southampton,0.3,1.8,0.433489,1.95483,0.47478593489952153,1.7045296832963683,-0.17478593489952154,0.09547031670363171,0.27025625160315325
2024-08-17,Nott'm Forest,Bournemouth,1.3,1.2,1.24405,1.90915,1.1288466065943545,1.6675896141186117,0.1711533934056455,-0.4675896141186118,0.6387430075242573
2024-08-17,West Ham,Aston Villa,2.3,2.0,2.8047,2.6703,2.3881716756274574,2.283109177486592,-0.08817167562745754,-0.28310917748659215,0.3712808531140497
2024-08-18,Brentford,Crystal Palace,1.6,1.2,1.38064,1.14757,1.2390642794737519,1.0517223224286867,0.3609357205262482,0.14827767757131327,0.5092133980975615
2024-08-18,Chelsea,Man City,1.0,0.8,1.06123,1.18038,0.9813248630127493,1.0782548020635856,0.01867513698725065,-0.27825480206358555,0.2969299390508362
2024-08-19,Leicester,Tottenham,1.0,1.2,1.02614,1.40775,0.9530099194492525,1.2621222173207332,0.04699008055074749,-0.0621222173207332,0.10911229787148069
2024-08-24,Aston Villa,Arsenal,1.2,0.9,1.31664,1.41399,1.18742117921545,1.2671683213415126,0.01257882078454986,-0.36716832134151256,0.3797471421260624
2024-08-24,Brighton,Man United,2.1,1.4,2.14153,1.28556,1.8530442569040517,1.163310766952299,0.24695574309594837,0.23668923304770084,0.4836449761436492
2024-08-24,Crystal Palace,West Ham,1.3,1.4,1.3761,1.53421,1.2354008470491786,1.36438669079313,0.06459915295082141,0.03561330920687,0.10021246215769142
2024-08-24,Fulham,Leicester,1.8,0.6,1.96218,0.857005,1.7083225376645768,0.8167509739034062,0.09167746233542329,-0.21675097390340625,0.30842843623882954
