ConfidenceBand,Matches,Model2Accuracy,Model5Accuracy,MeanLogLossImprovement,MeanBrierImprovement,PredictionChanges,AccuracyUpliftPP
<=40%,96,42.70833333333333,44.79166666666667,0.024080006460254943,0.017645464836265147,37,2.083333333333343
40-50%,254,44.881889763779526,46.8503937007874,0.020508016418459524,0.015266043158372263,22,1.968503937007874
50-60%,191,58.1151832460733,58.1151832460733,0.006669812465869766,0.004021279686131281,0,0.0
60-70%,107,59.813084112149525,59.813084112149525,-0.0004957834268895958,0.0006895435313398173,0,0.0
>70%,82,74.39024390243902,74.39024390243902,0.014520178597874448,0.006379851969091043,0,0.0
