Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,ActualResult,Model2HomeProbability,Model2DrawProbability,Model2AwayProbability,Model2Prediction,Model5HomeProbability,Model5DrawProbability,Model5AwayProbability,Model5Prediction,Model2HomeExpectedGoals,Model2AwayExpectedGoals,Model5HomeExpectedGoals,Model5AwayExpectedGoals
2023/24,2023-08-11,Burnley,Man City,0,3,A,0.3466449682177761,0.27869300794369967,0.37466202383852426,A,0.34861465439006956,0.26955991280323055,0.38182543280669984,A,1.1552281535173161,1.212661542894849,1.2174097458799962,1.2871632364109187
2023/24,2023-08-12,Arsenal,Nott'm Forest,2,1,H,0.3932793587911796,0.2592325449033602,0.34748809630546024,H,0.49378937958734287,0.2582088045397858,0.2480018158728714,H,1.3868210844732913,1.2878232324907541,1.517557756967245,0.994586033413095
2023/24,2023-08-12,Bournemouth,West Ham,1,1,D,0.3444710747434699,0.2637307130761568,0.39179821218037336,A,0.40011481665452747,0.2685776644929069,0.33130751885256565,H,1.2477007470996313,1.348697630123953,1.327213046065314,1.1824661901623474
2023/24,2023-08-12,Everton,Fulham,0,1,A,0.3753020740693294,0.25902349560500865,0.36567443032566194,H,0.3871722659952707,0.2561409552288523,0.3566867787758771,H,1.3527647673280125,1.3319242197669685,1.4004235672209009,1.333886826297281
2023/24,2023-08-12,Newcastle,Aston Villa,5,1,H,0.3550893600842066,0.2670868802586352,0.37782375965715825,A,0.41002971368794544,0.25601898311632987,0.3339513031957248,H,1.2489342777594614,1.2970200492214166,1.4433315211307403,1.277488525433455
2023/24,2023-08-13,Brentford,Tottenham,2,2,D,0.41964910086453233,0.2671304326107823,0.3132204665246854,H,0.4119666253923556,0.2603899915488329,0.3276433830588115,H,1.3689758528995564,1.1446480716473217,1.4100201403226293,1.2286231751654337
2023/24,2023-08-13,Chelsea,Liverpool,1,1,D,0.3895011499054523,0.2731366272538719,0.3373622228406758,H,0.312927995306188,0.2534897025159551,0.43358230217785704,A,1.2764951523186328,1.1680965392125198,1.2373492634160863,1.5015954738746329
2023/24,2023-08-14,Man United,Wolves,1,0,H,0.4236729998899064,0.26538952119363846,0.3109374789164551,H,0.5718196720281875,0.22816470306135345,0.20001562491045893,H,1.3881576515485408,1.1494859576914818,1.822057297590703,0.9780865231594211
2023/24,2023-08-19,Fulham,Brentford,0,3,A,0.7840098989852139,0.13535173011332613,0.08063837090146007,H,0.6593008449608935,0.1869637441550753,0.15373541088403125,H,2.757569861433301,0.7880802022073762,2.282881652666814,1.0107852890577265
2023/24,2023-08-19,Liverpool,Bournemouth,3,1,H,0.43553223518053935,0.264722009356792,0.29974575546266874,H,0.4891704767221622,0.255240640579889,0.25558888269794877,H,1.409528400949966,1.1220354930889924,1.540922562113085,1.0386975013686417
2023/24,2023-08-19,Man City,Newcastle,1,0,H,0.3563260923180721,0.217217304282198,0.42645660339972996,A,0.3074306032750007,0.21227622578967664,0.48029317093532264,A,1.73390249308864,1.9083664861505178,1.6199411142052125,2.0540378041803593
2023/24,2023-08-19,Tottenham,Man United,2,0,H,0.24702313103173876,0.23452132000937498,0.5184555489588862,A,0.2200904647678519,0.21499281240374968,0.5649167228283986,A,1.1455336901883661,1.7637018367922959,1.177713193951822,2.0038500447003966
2023/24,2023-08-19,Wolves,Brighton,1,4,A,0.024100150457509573,0.06455589503545033,0.9113439545070401,A,0.01945477100218924,0.053471064299425074,0.9270741646983857,A,0.5243485174022435,3.6164574492746855,0.526551450585552,3.8974368878306676
2023/24,2023-08-20,Aston Villa,Everton,4,0,H,0.2557132483302619,0.3216998842085458,0.4225868674611923,A,0.2602821274046312,0.2970344287387023,0.4426834438566666,A,0.7530313613571044,1.0607533837431342,0.850119779805151,1.2043994270806093
2023/24,2023-08-20,West Ham,Chelsea,3,1,H,0.41710874053457336,0.252335183538177,0.3305560759272496,H,0.40091745487380276,0.25074397018145084,0.3483385749447465,H,1.4873933643225141,1.296722587537726,1.4737115481464071,1.3571332675642298
2023/24,2023-08-21,Crystal Palace,Arsenal,0,1,A,0.5228741021049091,0.22232291207445967,0.25480298582063127,H,0.532098677809884,0.23040158773345576,0.23749973445666028,H,1.9181939633422516,1.2809785050364093,1.8127116266080814,1.1358123853537543
2023/24,2023-08-26,Arsenal,Fulham,2,2,D,0.799138753066451,0.12685215218116788,0.07400909475238093,H,0.816521486758679,0.11989382320769237,0.0635846900336286,H,2.868753595793406,0.7846245179993485,2.8898920103454366,0.7087333179192149
2023/24,2023-08-26,Bournemouth,Tottenham,0,2,A,0.15024330567166008,0.2037525967721602,0.6460040975561797,A,0.17316591552291413,0.2168134611155272,0.6100206233615586,A,0.8633087821074638,2.035581862897281,0.9131589133162897,1.9224063419441553
2023/24,2023-08-26,Brentford,Crystal Palace,1,1,D,0.6641822759095176,0.19443856301394707,0.14137916107653528,H,0.6322644447522742,0.2048072569164852,0.16292829833124065,H,2.1321688691668914,0.8674911165105162,2.0522633841743985,0.9340811831396592
2023/24,2023-08-26,Brighton,West Ham,1,3,A,0.7959104876282005,0.11684006521703756,0.0872494471547619,H,0.797261421149508,0.11786564370171909,0.08487293514877298,H,3.339431507123781,1.107171358586357,3.267774634861339,1.052597061304064
2023/24,2023-08-26,Everton,Wolves,0,1,A,0.3631986774859743,0.2739345753097955,0.3628667472042303,H,0.41836631877246333,0.25721241841346726,0.3244212628140696,H,1.2203753188226305,1.2196861344759942,1.4466352538735723,1.242769460498193
2023/24,2023-08-26,Man United,Nott'm Forest,3,2,H,0.462457967116478,0.2591610067339955,0.2783810261495265,H,0.48283087976553213,0.2519089166641103,0.26526020357035757,H,1.4855337117613565,1.0915523993336915,1.5672252862169813,1.0936721607439261
2023/24,2023-08-27,Burnley,Aston Villa,1,3,A,0.11736943061077806,0.19419576575937866,0.6884348036298432,A,0.12922334641677127,0.188214333788234,0.6825623197949948,A,0.7078465250410648,2.05571832735208,0.8251482234434753,2.175290857845041
2023/24,2023-08-27,Newcastle,Liverpool,1,2,A,0.5017784811101268,0.23411445827100716,0.26410706061886613,H,0.5533926220808952,0.2159625669820977,0.2306448109370071,H,1.7642728510552281,1.2188146162273663,1.9984045264222714,1.223254871889354
2023/24,2023-09-02,Brentford,Bournemouth,2,2,D,0.7418485784761475,0.16584392324049996,0.09230749828335265,H,0.7321335784609022,0.16788392537024738,0.09998249616885047,H,2.3154274184752,0.6797073092945923,2.3306862788056137,0.7321702575882868
2023/24,2023-09-02,Brighton,Newcastle,3,1,H,0.5686481805613228,0.20965702338228231,0.22169479605639475,H,0.4485407987784045,0.21552726447252696,0.33593193674906857,H,2.0822384725549807,1.2345694380865166,1.9689614755102214,1.6878384738086734
2023/24,2023-09-02,Burnley,Tottenham,2,5,A,0.06999949875271312,0.15522068464041344,0.7747798166068736,A,0.09812649665376597,0.18224128081311577,0.7196322225331182,A,0.5424393011796963,2.3195273652144883,0.6352788843616533,2.125510212783714
2023/24,2023-09-02,Chelsea,Nott'm Forest,0,1,A,0.510040214708112,0.23195309364286787,0.25800669164902024,H,0.4957117255621976,0.2354102891034581,0.2688779853343443,H,1.7926202049769073,1.2114965724937319,1.7465203113827068,1.2272212431890437
2023/24,2023-09-02,Man City,Fulham,5,1,H,0.8233240930794397,0.11530666645650182,0.06136924046405845,H,0.8691702287964664,0.09017406589817564,0.04065570530535793,H,2.967278468304085,0.7202415733176342,3.2506090981828164,0.6226160172300648
2023/24,2023-09-03,Arsenal,Man United,3,1,H,0.6398324081937227,0.19222475423664798,0.16794283756962936,H,0.5588531656496684,0.20553842697398342,0.23560840737634825,H,2.2455061461667825,1.0651484973258616,2.160352199099293,1.3521704273837503
2023/24,2023-09-03,Crystal Palace,Wolves,3,2,H,0.5475272549334802,0.23795411634612998,0.21451862872038988,H,0.531809505842064,0.23941858519944592,0.22877190895849003,H,1.7225878621327897,0.982711398004479,1.7093547668243858,1.0345269952537643
2023/24,2023-09-03,Liverpool,Aston Villa,3,0,H,0.5881196717385616,0.2050677926571956,0.20681253560424284,H,0.555547170894452,0.20861497993827646,0.23583784916727157,H,2.13224304803643,1.194013019985012,2.1114091792252667,1.3210312950771819
2023/24,2023-09-16,Aston Villa,Crystal Palace,3,1,H,0.38074701989298504,0.265251071708492,0.354001908398523,H,0.36442499911896975,0.25898516522918036,0.3765898356518499,A,1.3162011352219263,1.2593442535263366,1.3294317036807153,1.3557668893494519
2023/24,2023-09-16,Man United,Brighton,1,3,A,0.24115657509922223,0.23776623210710457,0.5210771927936731,A,0.3163073564050331,0.23924126972845372,0.44445137386651307,A,1.097439200388806,1.7271460763973694,1.364123545804019,1.657472610398361
2023/24,2023-09-16,Newcastle,Brentford,1,0,H,0.2743923034004933,0.2522034294110298,0.47340426718847683,A,0.34849250193479664,0.24878549002059036,0.4027220080446131,A,1.123390196609765,1.5572928270433362,1.374068693692039,1.4950319635578795
2023/24,2023-09-16,West Ham,Man City,1,3,A,0.387377077735385,0.23629143616711581,0.3763314860974992,H,0.32896163367502945,0.24207002255980398,0.4289683437651666,A,1.5886565409238322,1.562970487374728,1.3781580802342746,1.6054985893403335
2023/24,2023-09-16,Wolves,Liverpool,1,3,A,0.12950782105614564,0.18884717506325097,0.6816450038806035,A,0.12640567755990467,0.18365588326652893,0.6899384391735665,A,0.822982000571234,2.167654610920221,0.8355727283306006,2.2284334197857687
2023/24,2023-09-17,Bournemouth,Chelsea,0,0,D,0.25191058194094995,0.2562376597408646,0.4918517583181854,A,0.1826742422287364,0.21839372135581198,0.5989320364154517,A,1.0197580228424923,1.5336584199119512,0.9541801705764861,1.9175073108775162
2023/24,2023-09-17,Everton,Arsenal,0,1,A,0.11202904193308051,0.17831895296776723,0.7096520050991523,A,0.14651438094142422,0.1969409421250193,0.6565446769335564,A,0.7621386419864097,2.2412491413158158,0.8845916148561903,2.1140699763628024
2023/24,2023-09-18,Nott'm Forest,Burnley,1,1,D,0.7878537691506159,0.1367110066272816,0.07543522422210264,H,0.7107940476564398,0.17263499679116034,0.11657095555239981,H,2.6743518679003064,0.7150979905507466,2.348840260953853,0.8378065020522654
2023/24,2023-09-23,Brentford,Everton,1,3,A,0.6553657562698952,0.20746235421069983,0.13717188951940498,H,0.5976218037885526,0.2204070209611497,0.18197117525029774,H,1.9587418012941118,0.7620413269705837,1.8927562350057485,0.9373222325368061
2023/24,2023-09-23,Burnley,Man United,0,1,A,0.19202670736188954,0.2259502493033538,0.5820230433347566,A,0.16433843144046742,0.19521767246072663,0.6404438960988059,A,0.9532220566430003,1.840258945734109,1.015468142938164,2.1895502552206976
2023/24,2023-09-23,Crystal Palace,Fulham,0,0,D,0.5235764115686699,0.24538474384524234,0.23103884458608778,H,0.5819526409708471,0.23006768034508773,0.18797967868406518,H,1.6470815842861255,1.0061611091490574,1.7912140778914027,0.90826305139835
2023/24,2023-09-23,Man City,Nott'm Forest,2,0,H,0.8565898697770724,0.09511505044271869,0.048295079780208944,H,0.8545416262560519,0.09885210906894663,0.04660626467500156,H,3.283335380429807,0.7168134969206942,3.132576765623482,0.6442467395685023
2023/24,2023-09-24,Arsenal,Tottenham,2,2,D,0.5017915189099853,0.236782207238609,0.26142627385140565,H,0.5416991257455666,0.2333353519371476,0.22496552231728578,H,1.7334667649925726,1.1869390071764465,1.7759844604255948,1.0589470190811323
2023/24,2023-09-24,Brighton,Bournemouth,3,1,H,0.831640560484467,0.109670900500878,0.058688539014654956,H,0.7924130926997386,0.1292622926453802,0.07832461465488132,H,3.0687439983386526,0.7361900416872977,2.8665884157133634,0.8174024543979768
2023/24,2023-09-24,Chelsea,Aston Villa,0,1,A,0.3414489835303238,0.24409408949446557,0.41445692697521075,A,0.3514151310206279,0.23427136818130628,0.41431350079806595,A,1.3961309019511772,1.5612831069012234,1.518783573469728,1.6658600038886906
2023/24,2023-09-24,Liverpool,West Ham,3,1,H,0.7141788668309497,0.16598478753074017,0.11983634563831012,H,0.7708742984934716,0.14185103671195406,0.08727466479457424,H,2.478266275520051,0.9195802790845599,2.689951464048947,0.8066742432196573
2023/24,2023-09-30,Aston Villa,Brighton,6,1,H,0.38676089002347963,0.2483585776990728,0.36488053227744766,H,0.45629802255970103,0.2473747339249925,0.2963272435153065,H,1.4675933391175706,1.4186814242959833,1.5872401212587373,1.2315962474982094
2023/24,2023-09-30,Bournemouth,Arsenal,0,4,A,0.13777706749081486,0.19962376760131478,0.6625991649078703,A,0.10757976513585434,0.16790131998925045,0.7245189148748953,A,0.8105557947465007,2.05380669479116,0.7969109534540347,2.3744683911926816
2023/24,2023-09-30,Man United,Crystal Palace,0,1,A,0.40084773939117224,0.2645549423538649,0.3345973182549629,H,0.5076724606902737,0.24209600550009722,0.2502315338096292,H,1.358540153334619,1.2175854988485597,1.6774535811487115,1.103769542227049
2023/24,2023-09-30,Newcastle,Burnley,2,0,H,0.7972027511624898,0.13064316894020442,0.07215407989730586,H,0.822919056452004,0.1163187507706325,0.06076219277736327,H,2.7619908801282005,0.7261386633028762,2.932992717307233,0.7016362719118878
2023/24,2023-09-30,Tottenham,Liverpool,2,1,H,0.5393136254151479,0.22233236512685287,0.2383540094579992,H,0.49822069149349435,0.22985635228297716,0.2719229562235286,H,1.9150351808042676,1.2049185700341687,1.8144329716351557,1.2864652791672755
2023/24,2023-09-30,Wolves,Man City,2,1,H,0.08599094560659382,0.15356384497091596,0.7604452094224903,A,0.08905660793547586,0.1603862036483679,0.7505571884161564,A,0.7015881479151452,2.463926858833343,0.6850866096921594,2.376692476819363
2023/24,2023-10-01,Nott'm Forest,Brentford,1,1,D,0.4109193355057247,0.26552234973122635,0.3235583147630491,H,0.3467875411569136,0.26629260477710875,0.38691985406597756,A,1.3678358120470693,1.182659185020363,1.235328607043049,1.3203723327446768
2023/24,2023-10-02,Fulham,Chelsea,0,2,A,0.385269758984504,0.26885170837352124,0.34587853264197477,H,0.2549510371941124,0.2462245339349823,0.4988244288709054,A,1.2987027180653992,1.215818527581177,1.0937452864246993,1.6315362369967679
2023/24,2023-10-07,Burnley,Chelsea,1,4,A,0.23033250721588794,0.2594901524058573,0.5101773403782547,A,0.17485069565814204,0.2264720144005939,0.598677289941264,A,0.9242638460039254,1.5141152816597487,0.8642078057038298,1.8162183100021134
2023/24,2023-10-07,Crystal Palace,Nott'm Forest,0,0,D,0.5091643220417698,0.24432908465310088,0.24650659330512947,H,0.555592526162786,0.2357838111076855,0.20862366272952848,H,1.6547346525704072,1.0740495391642075,1.743519679070843,0.9700036869332473
