Model2Weight,MarketWeight,Accuracy,LogLoss,Brier
1.0,0.0,0.42,1.0597821788148034,0.6370532561930858
0.95,0.05,0.42,1.0578913691819716,0.6357537324472972
0.9,0.1,0.4,1.0561752512932505,0.6345750399820453
0.85,0.15,0.4,1.0546288160982842,0.63351717879733
0.8,0.2,0.4,1.053247774976324,0.6325801488931521
0.75,0.25,0.38,1.052028488343638,0.6317639502695107
0.7,0.3,0.38,1.0509679076564822,0.6310685829264062
0.65,0.35,0.38,1.0500635285431141,0.6304940468638385
0.6,0.4,0.38,1.0493133533278138,0.6300403420818076
0.55,0.45,0.42,1.048715861618633,0.6297074685803136
0.5,0.5,0.42,1.0482699879522208,0.6294954263593564
0.45,0.55,0.46,1.0479751057478406,0.629404215418936
0.4,0.6,0.46,1.0478310170365923,0.6294338357590525
0.35,0.65,0.46,1.0478379476144868,0.6295842873797057
0.3,0.7,0.46,1.0479965474302215,0.6298555702808959
0.25,0.75,0.46,1.0483078961691732,0.6302476844626229
0.2,0.8,0.46,1.048773514142189,0.6307606299248867
0.15,0.85,0.46,1.049395378738704,0.6313944066676872
0.1,0.9,0.44,1.0501759468663094,0.6321490146910248
0.05,0.95,0.44,1.0511181839817125,0.633024453994899
-0.0,1.0,0.44,1.0522256005312678,0.6340207245793102
