Gameweek,Matches,Model2_Accuracy,OpeningMarket_Accuracy,Model2_LogLoss,OpeningMarket_LogLoss,Model2_Brier,OpeningMarket_Brier
1,10.0,0.5,0.6,1.0212038496383689,0.985856694065741,0.6108310181262777,0.5756949135589171
2,10.0,0.5,0.5,1.0612059461552732,0.9759274461721148,0.6377713539331122,0.5799882726196871
3,10.0,0.3,0.3,1.1208568010235416,1.0466024425004448,0.6760807129130211,0.6346025183463834
4,10.0,0.3,0.4,1.1291756417430996,1.1731034857575764,0.687423528949971,0.7313196477645993
5,10.0,0.5,0.4,0.9664686555137344,1.0796379341604616,0.5731596670430468,0.6484982706069637
GW1-GW5,50.0,0.42,0.44,1.0597821788148034,1.0522256005312678,0.6370532561930858,0.6340207245793101
