InnerValidationSeason,MinConfidence,MaxMarketMargin,Overrides,Accuracy,LogLoss,Brier,AccuracyVsMarket,LogLossVsMarket,BrierVsMarket,OuterTestSeason,Selected
2022/23,0.55,0.05,31,0.5382436260623229,0.9709156273290709,0.5765502265558805,-0.025495750708215303,0.0018715584417096087,0.0013141330523438466,2023/24,False
2022/23,0.55,0.1,55,0.5240793201133145,0.9732770105329691,0.5782359715499759,-0.03966005665722372,0.004232941645607835,0.002999878046439197,2023/24,False
2022/23,0.55,0.15,75,0.5269121813031161,0.9718620468342093,0.5772963710246692,-0.03682719546742208,0.002817977946848016,0.0020602775211325808,2023/24,False
2022/23,0.55,0.2,96,0.5212464589235127,0.974250269533907,0.5789496081554245,-0.04249291784702547,0.0052062006465457555,0.0037135146518878503,2023/24,False
2022/23,0.6,0.05,28,0.5410764872521246,0.9705791965208438,0.5763092065715897,-0.022662889518413554,0.0015351276334825137,0.001073113068053022,2023/24,False
2022/23,0.6,0.1,46,0.5297450424929179,0.9724535939290186,0.5776443711496223,-0.03399433427762033,0.0034095250416573686,0.0024082776460856437,2023/24,False
2022/23,0.6,0.15,57,0.5325779036827195,0.9712774354975284,0.5768217615319006,-0.031161473087818692,0.0022333666101671534,0.0015856680283639069,2023/24,False
2022/23,0.6,0.2,69,0.5325779036827195,0.9711689190262848,0.5766787245094679,-0.031161473087818692,0.0021248501389234953,0.0014426310059312275,2023/24,False
2022/23,0.65,0.05,19,0.546742209631728,0.9701493175109709,0.576003358148371,-0.016997167138810165,0.0011052486236096115,0.0007672646448343423,2023/24,False
2022/23,0.65,0.1,33,0.5410764872521246,0.9707807920283137,0.5764616524843811,-0.022662889518413554,0.001736723140952412,0.0012255589808444212,2023/24,False
2022/23,0.65,0.15,41,0.5410764872521246,0.9705278628965218,0.5762975543333562,-0.022662889518413554,0.001483794009160544,0.001061460829819505,2023/24,False
2022/23,0.65,0.2,51,0.5439093484419264,0.9689105745304135,0.5750768435651107,-0.019830028328611804,-0.0001334943569477609,-0.000159249938425976,2023/24,True
2022/23,0.7,0.05,12,0.5410764872521246,0.9701511597521842,0.5760146283619029,-0.022662889518413554,0.0011070908648229683,0.0007785348583662088,2023/24,False
2022/23,0.7,0.1,20,0.5382436260623229,0.9705640608765131,0.5763111599524172,-0.025495750708215303,0.0015199919891518698,0.0010750664488805572,2023/24,False
2022/23,0.7,0.15,23,0.5354107648725213,0.9714033002079216,0.5769135096734064,-0.028328611898016942,0.002359231320560373,0.0016774161698697165,2023/24,False
2022/23,0.7,0.2,28,0.5297450424929179,0.9740260428275157,0.5787682168309751,-0.03399433427762033,0.004981973940154427,0.0035321233274384634,2023/24,False
2023/24,0.55,0.05,26,0.5583333333333333,0.9243496894075947,0.5438815749188812,-0.019444444444444375,0.0012906408039754513,0.0009223411102280421,2024/25,False
2023/24,0.55,0.1,43,0.5694444444444444,0.9219411925191603,0.5421274719181511,-0.008333333333333304,-0.0011178560844589125,-0.0008317618905020474,2024/25,False
2023/24,0.55,0.15,59,0.5694444444444444,0.9226686145747229,0.5426629139732617,-0.008333333333333304,-0.0003904340288962693,-0.00029631983539146756,2024/25,False
2023/24,0.55,0.2,78,0.5527777777777778,0.9306319086787261,0.5484220637647693,-0.02499999999999991,0.007572860075106935,0.005462829956116133,2024/25,False
2023/24,0.6,0.05,14,0.5777777777777777,0.9229979941112343,0.542901215989887,0.0,-6.105449238491545e-05,-5.801781876613177e-05,2024/25,False
2023/24,0.6,0.1,23,0.5833333333333334,0.9216761863408258,0.5419301897629896,0.005555555555555647,-0.0013828622627933829,-0.0010290440456636185,2024/25,True
2023/24,0.6,0.15,30,0.5833333333333334,0.9218437171222875,0.54206914488035,0.005555555555555647,-0.001215331481331683,-0.0008900889283032232,2024/25,False
2023/24,0.6,0.2,40,0.5722222222222222,0.9270161990182086,0.5457861677486615,-0.005555555555555536,0.003957150414589439,0.002826933940008325,2024/25,False
2023/24,0.65,0.05,3,0.5722222222222222,0.9233832559169994,0.5431935400470341,-0.005555555555555536,0.00032420731338023145,0.00023430623838094355,2024/25,False
2023/24,0.65,0.1,6,0.575,0.9226387856201852,0.5426512165133545,-0.002777777777777768,-0.0004202629834340055,-0.0003080172952987237,2024/25,False
2023/24,0.65,0.15,7,0.575,0.9226387856201852,0.5426512165133545,-0.002777777777777768,-0.0004202629834340055,-0.0003080172952987237,2024/25,False
2023/24,0.65,0.2,11,0.5666666666666667,0.9265765248979351,0.5454912428557216,-0.011111111111111072,0.003517476294315869,0.0025320090470684065,2024/25,False
2023/24,0.7,0.05,0,0.5777777777777777,0.9230590486036192,0.5429592338086532,0.0,0.0,0.0,2024/25,False
2023/24,0.7,0.1,1,0.5777777777777777,0.9230590486036192,0.5429592338086532,0.0,0.0,0.0,2024/25,False
2023/24,0.7,0.15,1,0.5777777777777777,0.9230590486036192,0.5429592338086532,0.0,0.0,0.0,2024/25,False
2023/24,0.7,0.2,2,0.5777777777777777,0.9230590486036192,0.5429592338086532,0.0,0.0,0.0,2024/25,False
2024/25,0.55,0.05,38,0.5324324324324324,0.9714819729095958,0.5793919769315067,-0.013513513513513487,0.001048063012462297,0.00075547016306865,2025/26,False
2024/25,0.55,0.1,73,0.5297297297297298,0.9723198817206133,0.5800006201428002,-0.01621621621621616,0.0018859718234798262,0.0013641133743621525,2025/26,False
2024/25,0.55,0.15,95,0.5135135135135135,0.977560803161922,0.5837196873861956,-0.032432432432432434,0.007126893264788436,0.005083180617757588,2025/26,False
2024/25,0.55,0.2,114,0.4918918918918919,0.9880820989653828,0.5913876971160635,-0.054054054054054,0.017648189068249276,0.012751190347625507,2025/26,False
2024/25,0.6,0.05,29,0.5324324324324324,0.971466995619989,0.5793851075995652,-0.013513513513513487,0.0010330857228554313,0.0007486008311271553,2025/26,False
