Matches,Accuracy,LogLoss,Brier,PredictedDraws,CorrectDraws,Model,Overrides,CorrectOverrides
1100,0.5409090909090909,0.9681538993590075,0.5763102917916832,0,0,MarketOpen,,
1100,0.53,0.9703096312746167,0.577863779244014,1,0,Model6D,76.0,21.0
