Matches,Accuracy,LogLoss,Brier,PredictedDraws,CorrectDraws,Season,Model,Overrides,CorrectOverrides
360,0.5777777777777777,0.9230590486036192,0.5429592338086532,0,0,2023/24,MarketOpen,,
360,0.5666666666666667,0.9265765248979351,0.5454912428557216,1,0,2023/24,Model6D,11.0,1.0
370,0.5459459459459459,0.9704339098971335,0.578636506768438,0,0,2024/25,MarketOpen,,
370,0.527027027027027,0.9735838648955206,0.5809179248447276,0,0,2024/25,Model6D,54.0,17.0
370,0.5,1.0097499598261244,0.6064337548524715,0,0,2025/26,MarketOpen,,
370,0.4972972972972973,1.0095865281823755,0.6063072366156929,0,0,2025/26,Model6D,11.0,3.0
