Model,Matches,Accuracy,LogLoss,Brier,PredictedDraws,ActualDraws,CorrectDraws
Model2,1100,0.5218181818181818,1.0037472679957136,0.5999316877851392,0,268,0
MarketOpen,1100,0.5409090909090909,0.9681538993590075,0.5763102917916832,0,268,0
Model6A,1100,0.5409090909090909,0.9681538993590075,0.5763102917916832,0,268,0
Model6B,1100,0.4890909090909091,1.312279392935164,0.7077430014774758,117,268,30
Model6C,1100,0.5418181818181819,0.9696176625750972,0.5774668330658589,0,268,0
