Season,FixtureId,Matchday,FixtureDate,FixtureTime,HomeTeam,AwayTeam,Status,LastUpdated
2026/27,560572,4,2026-09-12,15:00,Crystal Palace,Ipswich,TIMED,2026-09-11T00:20:31Z
2026/27,560573,4,2026-09-12,15:00,Liverpool,Fulham,TIMED,2026-09-11T00:20:31Z
2026/27,560574,4,2026-09-12,15:00,Aston Villa,Nott'm Forest,TIMED,2026-09-11T00:20:31Z
2026/27,560576,4,2026-09-12,15:00,Bournemouth,Brentford,TIMED,2026-09-11T00:20:31Z
2026/27,560581,4,2026-09-12,15:00,Chelsea,Hull City,TIMED,2026-09-11T00:20:31Z
2026/27,560575,4,2026-09-12,17:30,Tottenham,Everton,TIMED,2026-09-11T00:20:31Z
2026/27,560577,4,2026-09-12,20:00,Sunderland,Arsenal,TIMED,2026-09-11T00:20:31Z
2026/27,560578,4,2026-09-13,14:00,Coventry City,Brighton,TIMED,2026-09-11T00:20:31Z
2026/27,560580,4,2026-09-13,16:30,Man United,Man City,TIMED,2026-09-11T00:20:31Z
2026/27,560579,4,2026-09-14,20:00,Leeds,Newcastle,TIMED,2026-09-11T00:20:31Z
