PredictionTimestamp,Season,Gameweek,FixtureId,FixtureDate,FixtureTime,HomeTeam,AwayTeam,ModelVersion,PredictionStatus,PredictedResult,MostLikelyScore,HomeWinProbability,DrawProbability,AwayWinProbability,ExpectedHomeGoals,ExpectedAwayGoals,ColdStartUsed,ColdStartTeams,ColdStartMethod,FeatureSeason,ActualHomeGoals,ActualAwayGoals,ActualScore,ActualResult,ActualResultCode,OutcomeCorrect,ExactScoreCorrect,ActualOutcomeProbability,LogLoss,Brier,HomeGoalError,AwayGoalError,HomeGoalAbsoluteError,AwayGoalAbsoluteError,PredictedTotalGoals,ActualTotalGoals,TotalGoalsAbsoluteError
2026-09-18T08:32:52+01:00,2026/27,5,560591,2026-09-18,20:00,Brentford,Chelsea,Model2_v1.0,Predicted,Brentford,1-1,45.8,24.4,29.8,1.62,1.26,False,,,2025/26,3,0,3-0,Brentford,H,True,False,0.45799999999999996,0.7808860948679521,0.442104,-1.38,1.26,1.38,1.26,2.88,3,0.1200000000000001
2026-09-18T08:32:52+01:00,2026/27,5,560587,2026-09-19,12:30,Tottenham,Aston Villa,Model2_v1.0,Predicted,Aston Villa,1-1,34.1,24.9,41.0,1.35,1.51,False,,,2025/26,2,3,2-3,Aston Villa,A,True,False,0.41,0.8915981192837836,0.5263820000000001,-0.6499999999999999,-1.49,0.6499999999999999,1.49,2.8600000000000003,5,2.1399999999999997
2026-09-18T08:32:52+01:00,2026/27,5,560584,2026-09-19,15:00,Everton,Ipswich,Model2_v1.0,Predicted,Everton,1-1,51.4,23.2,25.4,1.79,1.19,True,Ipswich,75% translated Championship prior + 25% historical Premier League baseline,2025/26,1,0,1-0,Everton,H,True,False,0.514,0.6655320135269719,0.35453599999999996,0.79,1.19,0.79,1.19,2.98,1,1.98
2026-09-18T08:32:52+01:00,2026/27,5,560586,2026-09-19,15:00,Brighton,Arsenal,Model2_v1.0,Predicted,Arsenal,1-1,33.7,26.1,40.2,1.25,1.39,False,,,2025/26,3,0,3-0,Brighton,H,False,False,0.337,1.0876723486297752,0.6692940000000001,-1.75,1.39,1.75,1.39,2.6399999999999997,3,0.3600000000000003
2026-09-18T08:32:52+01:00,2026/27,5,560588,2026-09-19,15:00,Newcastle,Hull City,Model2_v1.0,Predicted,Newcastle,2-0,66.7,19.1,14.2,2.19,0.9,True,Hull City,75% translated Championship prior + 25% historical Premier League baseline,2025/26,2,1,2-1,Newcastle,H,True,False,0.667,0.4049652330665133,0.16753399999999996,0.18999999999999995,-0.09999999999999998,0.18999999999999995,0.09999999999999998,3.09,3,0.08999999999999986
2026-09-18T08:32:52+01:00,2026/27,5,560589,2026-09-19,17:30,Nott'm Forest,Coventry City,Model2_v1.0,Predicted,Nott'm Forest,1-1,51.3,23.3,25.5,1.79,1.19,True,Coventry City,75% translated Championship prior + 25% historical Premier League baseline,2025/26,0,1,0-1,Coventry City,A,False,False,0.255,1.3664917338237108,0.872483,1.79,0.18999999999999995,1.79,0.18999999999999995,2.98,1,1.98
2026-09-18T08:32:52+01:00,2026/27,5,560582,2026-09-20,14:00,Bournemouth,Liverpool,Model2_v1.0,Predicted,Bournemouth,1-1,44.7,24.0,31.3,1.65,1.35,False,,,2025/26,0,1,0-1,Liverpool,A,False,False,0.313,1.1615520884419839,0.7293780000000001,1.65,0.3500000000000001,1.65,0.3500000000000001,3.0,1,2.0
2026-09-18T08:32:52+01:00,2026/27,5,560585,2026-09-20,14:00,Leeds,Crystal Palace,Model2_v1.0,Predicted,Leeds,1-1,49.8,24.0,26.2,1.69,1.16,False,,,2025/26,0,0,0-0,Draw,D,False,False,0.24,1.4271163556401458,0.894248,1.69,1.16,1.69,1.16,2.8499999999999996,0,2.8499999999999996
2026-09-18T08:32:52+01:00,2026/27,5,560590,2026-09-20,14:00,Man City,Sunderland,Model2_v1.0,Predicted,Man City,1-0,59.5,21.8,18.7,1.93,0.98,False,,,2025/26,5,3,5-3,Man City,H,True,False,0.595,0.5191938734365074,0.24651800000000001,-3.0700000000000003,-2.02,3.0700000000000003,2.02,2.91,8,5.09
2026-09-18T08:32:52+01:00,2026/27,5,560583,2026-09-20,16:30,Fulham,Man United,Model2_v1.0,Predicted,Fulham,1-1,39.7,25.7,34.6,1.41,1.3,False,,,2025/26,1,1,1-1,Draw,D,False,True,0.257,1.3586791940869172,0.8293740000000001,0.4099999999999999,0.30000000000000004,0.4099999999999999,0.30000000000000004,2.71,2,0.71
