PredictionTimestamp,Season,Gameweek,FixtureId,FixtureDate,FixtureTime,HomeTeam,AwayTeam,ModelVersion,PredictionStatus,PredictedResult,MostLikelyScore,HomeWinProbability,DrawProbability,AwayWinProbability,ExpectedHomeGoals,ExpectedAwayGoals,ColdStartUsed,ColdStartTeams,ColdStartMethod,FeatureSeason,ActualHomeGoals,ActualAwayGoals,ActualScore,ActualResult,ActualResultCode,OutcomeCorrect,ExactScoreCorrect,ActualOutcomeProbability,LogLoss,Brier,HomeGoalError,AwayGoalError,HomeGoalAbsoluteError,AwayGoalAbsoluteError,PredictedTotalGoals,ActualTotalGoals,TotalGoalsAbsoluteError
2026-08-25T14:50:55+01:00,2026/27,2,560555,2026-08-28,20:00,Crystal Palace,Man City,Model2_v1.0,Predicted,Man City,1-2,20.4,21.3,58.2,1.11,2.01,False,,,2025/26,1,4,1-4,Man City,A,True,False,0.5820000000000001,0.5412848312506991,0.2617089999999999,0.1100000000000001,-1.9900000000000002,0.1100000000000001,1.9900000000000002,3.12,5,1.88
2026-08-25T14:50:55+01:00,2026/27,2,560552,2026-08-29,12:30,Liverpool,Nott'm Forest,Model2_v1.0,Predicted,Liverpool,1-1,41.2,24.4,34.3,1.55,1.4,False,,,2025/26,2,2,2-2,Draw,D,False,False,0.244,1.410587053688935,0.858929,-0.44999999999999996,-0.6000000000000001,0.44999999999999996,0.6000000000000001,2.95,4,1.0499999999999998
2026-08-25T14:50:55+01:00,2026/27,2,560560,2026-08-29,15:00,Bournemouth,Everton,Model2_v1.0,Predicted,Bournemouth,1-1,47.9,23.6,28.5,1.73,1.28,False,,,2025/26,1,1,1-1,Draw,D,False,True,0.23600000000000002,1.443923473956527,0.894362,0.73,0.28,0.73,0.28,3.01,2,1.0099999999999998
2026-08-25T14:50:55+01:00,2026/27,2,560561,2026-08-29,15:00,Coventry City,Hull City,Model2_v1.0,Predicted,Coventry City,1-1,49.2,23.9,26.8,1.7,1.2,True,Coventry City|Hull City,75% translated Championship prior + 25% historical Premier League baseline,2025/26,0,1,0-1,Hull City,A,False,False,0.268,1.3167682984712803,0.835009,1.7,0.19999999999999996,1.7,0.19999999999999996,2.9,1,1.9
2026-08-25T14:50:55+01:00,2026/27,2,560558,2026-08-29,17:30,Tottenham,Newcastle,Model2_v1.0,Predicted,Newcastle,1-1,36.7,26.0,37.3,1.33,1.34,False,,,2025/26,0,2,0-2,Newcastle,A,True,False,0.373,0.9861768593383216,0.595418,1.33,-0.6599999999999999,1.33,0.6599999999999999,2.67,2,0.6699999999999999
2026-08-25T14:50:55+01:00,2026/27,2,560554,2026-08-30,14:00,Sunderland,Fulham,Model2_v1.0,Predicted,Sunderland,1-1,39.8,25.8,34.4,1.4,1.29,False,,,2025/26,1,0,1-0,Sunderland,H,True,False,0.39799999999999996,0.9213032736976995,0.5473040000000001,0.3999999999999999,1.29,0.3999999999999999,1.29,2.69,1,1.69
2026-08-25T14:50:55+01:00,2026/27,2,560556,2026-08-30,14:00,Chelsea,Brighton,Model2_v1.0,Predicted,Brighton,1-1,27.7,24.8,47.5,1.16,1.6,False,,,2025/26,4,3,4-3,Chelsea,H,False,False,0.27699999999999997,1.2837377727947987,0.8098580000000001,-2.84,-1.4,2.84,1.4,2.76,7,4.24
2026-08-25T14:50:55+01:00,2026/27,2,560559,2026-08-30,14:00,Leeds,Brentford,Model2_v1.0,Predicted,Leeds,1-1,46.0,24.6,29.4,1.6,1.23,False,,,2025/26,1,1,1-1,Draw,D,False,True,0.24600000000000002,1.4024237430497741,0.866552,0.6000000000000001,0.22999999999999998,0.6000000000000001,0.22999999999999998,2.83,2,0.8300000000000001
2026-08-25T14:50:55+01:00,2026/27,2,560553,2026-08-30,16:30,Man United,Ipswich,Model2_v1.0,Predicted,Man United,2-0,70.9,17.2,11.9,2.36,0.86,True,Ipswich,75% translated Championship prior + 25% historical Premier League baseline,2025/26,5,2,5-2,Man United,H,True,False,0.7090000000000001,0.3438997524500094,0.12842599999999996,-2.64,-1.1400000000000001,2.64,1.1400000000000001,3.2199999999999998,7,3.7800000000000002
2026-08-25T14:50:55+01:00,2026/27,2,560557,2026-08-31,20:00,Aston Villa,Arsenal,Model2_v1.0,Predicted,Arsenal,1-1,36.1,25.8,38.1,1.33,1.38,False,,,2025/26,0,1,0-1,Arsenal,A,True,False,0.381,0.9649559038554361,0.580046,1.33,0.3799999999999999,1.33,0.3799999999999999,2.71,1,1.71
