PredictionTimestamp,Season,Gameweek,FixtureId,FixtureDate,FixtureTime,HomeTeam,AwayTeam,ModelVersion,PredictionStatus,PredictedResult,MostLikelyScore,HomeWinProbability,DrawProbability,AwayWinProbability,ExpectedHomeGoals,ExpectedAwayGoals,ColdStartUsed,ColdStartTeams,ColdStartMethod,FeatureSeason,ActualHomeGoals,ActualAwayGoals,ActualScore,ActualResult,ActualResultCode,OutcomeCorrect,ExactScoreCorrect,ActualOutcomeProbability,LogLoss,Brier,HomeGoalError,AwayGoalError,HomeGoalAbsoluteError,AwayGoalAbsoluteError,PredictedTotalGoals,ActualTotalGoals,TotalGoalsAbsoluteError
2026-09-03T11:55:17+01:00,2026/27,3,560566,2026-09-04,20:00,Ipswich,Liverpool,Model2_v1.0,Predicted,Liverpool,1-1,25.2,22.6,52.2,1.24,1.87,True,Ipswich,75% translated Championship prior + 25% historical Premier League baseline,2025/26,0,2,0-2,Liverpool,A,True,False,0.522,0.6500876910994983,0.343064,1.24,-0.1299999999999999,1.24,0.1299999999999999,3.1100000000000003,2,1.1100000000000003
2026-09-03T11:55:17+01:00,2026/27,3,560571,2026-09-05,12:30,Newcastle,Bournemouth,Model2_v1.0,Predicted,Newcastle,1-1,40.8,26.2,33.0,1.39,1.22,False,,,2025/26,2,2,2-2,Draw,D,False,False,0.262,1.3394107752210402,0.820008,-0.6100000000000001,-0.78,0.6100000000000001,0.78,2.61,4,1.3900000000000001
2026-09-03T11:55:17+01:00,2026/27,3,560562,2026-09-05,15:00,Nott'm Forest,Tottenham,Model2_v1.0,Predicted,Nott'm Forest,1-1,47.1,25.0,27.9,1.58,1.16,False,,,2025/26,0,0,0-0,Draw,D,False,False,0.25,1.3862943611198906,0.862182,1.58,1.16,1.58,1.16,2.74,0,2.74
2026-09-03T11:55:17+01:00,2026/27,3,560563,2026-09-05,15:00,Man City,Coventry City,Model2_v1.0,Predicted,Man City,2-0,68.2,18.1,13.8,2.32,0.94,True,Coventry City,75% translated Championship prior + 25% historical Premier League baseline,2025/26,1,0,1-0,Man City,H,True,False,0.682,0.38272562113867487,0.15292899999999998,1.3199999999999998,0.94,1.3199999999999998,0.94,3.26,1,2.26
2026-09-03T11:55:17+01:00,2026/27,3,560564,2026-09-05,15:00,Brighton,Leeds,Model2_v1.0,Predicted,Brighton,1-1,47.6,25.0,27.5,1.58,1.14,False,,,2025/26,1,1,1-1,Draw,D,False,True,0.25,1.3862943611198906,0.864701,0.5800000000000001,0.1399999999999999,0.5800000000000001,0.1399999999999999,2.7199999999999998,2,0.7199999999999998
2026-09-03T11:55:17+01:00,2026/27,3,560565,2026-09-05,15:00,Brentford,Sunderland,Model2_v1.0,Predicted,Brentford,1-1,43.7,25.8,30.5,1.47,1.18,False,,,2025/26,1,1,1-1,Draw,D,False,True,0.258,1.3547956940605197,0.834558,0.47,0.17999999999999994,0.47,0.17999999999999994,2.65,2,0.6499999999999999
2026-09-03T11:55:17+01:00,2026/27,3,560568,2026-09-05,15:00,Fulham,Crystal Palace,Model2_v1.0,Predicted,Fulham,1-1,48.4,24.6,27.0,1.63,1.15,False,,,2025/26,2,3,2-3,Crystal Palace,A,False,False,0.27,1.3093333199837622,0.827672,-0.3700000000000001,-1.85,0.3700000000000001,1.85,2.78,5,2.22
2026-09-03T11:55:17+01:00,2026/27,3,560569,2026-09-05,17:30,Hull City,Aston Villa,Model2_v1.0,Predicted,Aston Villa,1-2,19.5,20.5,59.9,1.13,2.11,True,Hull City,75% translated Championship prior + 25% historical Premier League baseline,2025/26,0,0,0-0,Draw,D,False,False,0.205,1.584745299843729,1.028851,1.13,2.11,1.13,2.11,3.2399999999999998,0,3.2399999999999998
2026-09-03T11:55:17+01:00,2026/27,3,560567,2026-09-06,14:00,Everton,Man United,Model2_v1.0,Predicted,Man United,1-1,35.1,24.7,40.2,1.39,1.51,False,,,2025/26,2,2,2-2,Draw,D,False,False,0.247,1.3983669423541598,0.8518140000000001,-0.6100000000000001,-0.49,0.6100000000000001,0.49,2.9,4,1.1
2026-09-03T11:55:17+01:00,2026/27,3,560570,2026-09-06,16:30,Arsenal,Chelsea,Model2_v1.0,Predicted,Arsenal,2-0,66.0,19.3,14.7,2.18,0.92,False,,,2025/26,2,1,2-1,Arsenal,H,True,False,0.66,0.4155154439616658,0.17445799999999997,0.18000000000000016,-0.07999999999999996,0.18000000000000016,0.07999999999999996,3.1,3,0.10000000000000009
