Gameweek,Baseline,Accuracy,AccuracyPct,LogLoss,Brier
3,Model 2,0.3,30.0,1.120756950990283,0.6760237
3,Always Home,0.2,20.0,,
3,Historical Majority Class,0.2,20.0,,
3,Historical Outcome Frequency,0.2,20.0,1.2506029468243822,0.762993351800554
