Model,Matches,AccuracyPct,LogLoss,Brier,PredictedDraws,ActualDraws
Model 2,740,50.94594594594595,1.0188933620147944,0.6109567754936653,0,189
Challenger B,740,48.51351351351351,1.0436213533376915,0.6262368871557883,21,189
Challenger C,740,50.54054054054053,1.0195430062342992,0.6113908445940978,0,189
