Season,Model,Matches,AccuracyPct,LogLoss,Brier,PredictedDraws,ActualDraws
2024/25,Model 2,370,52.43243243243243,1.0003249513233385,0.5986481558329534,0,88
2024/25,Challenger B,370,50.810810810810814,1.0323008440956634,0.6193805620360747,16,88
2024/25,Challenger C,370,51.35135135135135,1.0017763859707653,0.5999848885787015,0,88
2025/26,Model 2,370,49.45945945945946,1.0374617727062505,0.6232653951543774,0,101
2025/26,Challenger B,370,46.21621621621622,1.0549418625797196,0.6330932122755016,5,101
2025/26,Challenger C,370,49.72972972972973,1.0373096264978328,0.6227968006094939,0,101
