Model,Matches,AccuracyPct,LogLoss,Brier,PredictedDraws,ActualDraws,ModalOneOneCount,ModalOneOnePct,MeanXGGap,XGGapStd,MeanTotalXG,TotalXGStd
Model 2,1100,52.18181818181819,1.0037472679952104,0.5999316877847671,0,268,783,71.18181818181817,0.6496429436539556,0.5342050369114623,2.9334512973463513,0.28054833297863896
Challenger A,1100,49.0,1.0556200882164781,0.631722990340656,7,268,365,33.18181818181819,0.8361908438233135,0.6234402517808613,2.8279207020814985,0.6892856237566722
