Model,Matches,AccuracyPct,LogLoss,Brier,PredictedDraws,ActualDraws
Model 2,1100,52.18181818181819,1.0037472679952104,0.5999316877847671,0,268
Challenger B,1100,50.81818181818182,1.024719770935952,0.6111773948492035,32,268
