SegmentType,Segment,Matches,AccuracyPct,LogLoss,Brier,ActualDraws,ActualDrawPct,PredictedDraws,MeanHomeProbabilityPct,MeanDrawProbabilityPct,MeanAwayProbabilityPct,MeanHomeXG,MeanAwayXG
Overall,All matches,1100,52.18181818181819,1.0037472679949564,0.5999316877845893,268,24.363636363636363,0,44.36394017502838,22.805397553989,32.83066227098261,1.6133311020394867,1.320120195305467
Season,2023/24,360,54.72222222222223,0.9726136302884176,0.5772690074943382,79,21.944444444444443,0,44.923693416677125,22.261621997865465,32.8146845854574,1.636888553769255,1.3140358610543912
Season,2024/25,370,52.43243243243243,1.0003249513225114,0.59864815583235,88,23.783783783783786,0,45.29953778921493,22.593362152917308,32.107100057867754,1.6527411512640418,1.3215300420260094
Season,2025/26,370,49.45945945945946,1.037461772706196,0.6232653951543705,101,27.297297297297295,0,42.88371778518359,23.546511874532232,33.56977034028416,1.5510002889697525,1.3246302413697555
PredictedResult,A,392,50.255102040816325,1.0063658165211482,0.6004167140596922,97,24.744897959183675,0,27.379813472519004,23.784454140320328,48.83573238716067,1.177118283956161,1.677214254125267
PredictedResult,H,708,53.24858757062147,1.0022974501668953,0.5996631421633459,171,24.152542372881356,0,53.76758094816918,22.26332102596374,23.969098025867076,1.854850063464153,1.1224071005916796
ActualResult,A,357,55.182072829131656,0.9961883929609473,0.5921458371951664,0,0.0,0,36.53409799362582,23.242754340378184,40.223147665995995,1.4061744779660585,1.492035683613207
ActualResult,H,475,79.36842105263158,0.7437968447931627,0.41591349998454735,0,0.0,0,50.12224501404976,22.301603511828542,27.576151474121698,1.7723742868340013,1.2017777426039458
ActualResult,D,268,0.0,1.4745493926516475,0.9364547768347532,268,100.0,0,44.588040399750625,23.11571769311317,32.296241907136206,1.6073960349380674,1.3008621195866596
Confidence,<40%,152,43.42105263157895,1.086712985720633,0.6583382131419854,42,27.631578947368425,0,37.30421574034186,25.45519702955931,37.24058723009882,1.3884135231543802,1.3869575533166505
Confidence,40-45%,205,40.97560975609756,1.078934337144114,0.653574650660888,52,25.365853658536587,0,37.710793529443684,25.07130307268409,37.21790339787221,1.413643535176558,1.4024106303635202
Confidence,70%+,93,74.19354838709677,0.7393995433715129,0.4133110606262974,15,16.129032258064516,0,67.1008622243576,14.193028006341942,18.706109769300472,2.432601940724043,1.0611198049100359
Confidence,50-55%,168,55.35714285714286,0.9997576268276418,0.5956735648175754,40,23.809523809523807,0,43.45428393074792,23.369748070955694,33.17596799829638,1.5773553726680951,1.3394332556255715
Confidence,45-50%,205,49.26829268292683,1.0408165974463426,0.6260255780773292,49,23.902439024390244,0,40.03845649390192,24.638396876760833,35.32314662933724,1.4547203424579953,1.3489855267952473
Confidence,60-70%,154,59.09090909090909,0.9520870648117826,0.5663135053192961,41,26.623376623376622,0,53.491861174927195,19.818075485191944,26.690063339880858,1.8743338774086011,1.2161709811611987
Confidence,55-60%,123,56.91056910569105,0.9841287199371,0.5838701945313987,29,23.577235772357724,0,44.008541764583065,22.180536309176873,33.810921926240056,1.5913468422145196,1.3518633708437535
DecisionMargin,0-5pp,145,41.37931034482759,1.0871252762115897,0.658972075603906,39,26.89655172413793,0,37.42128385776174,25.249889652090076,37.32882649014819,1.4092892007334321,1.4071953768528402
DecisionMargin,10-15pp,108,41.66666666666667,1.0810734584078803,0.6545040539520811,29,26.851851851851855,0,37.12813029503826,25.11724309110614,37.7546266138556,1.3876715437872296,1.401021234023356
DecisionMargin,5-10pp,104,44.230769230769226,1.0700010568981912,0.6475933362773467,25,24.03846153846154,0,38.07804321571382,25.163384304623293,36.758572479662895,1.422978155777209,1.3941106216301316
DecisionMargin,30pp+,404,62.12871287128713,0.911896777280631,0.5353727034791282,90,22.277227722772277,0,53.410161348837235,19.500040014604146,27.08979863655861,1.9043863735427407,1.2218798032904359
DecisionMargin,20-30pp,209,54.066985645933016,1.0141096341935614,0.6058241456240896,54,25.837320574162682,0,41.52273367087704,23.934074616012722,34.54319171311024,1.5055905410590595,1.345905392333196
DecisionMargin,15-20pp,130,45.38461538461539,1.062289036542149,0.6417687858446967,31,23.846153846153847,0,39.602591882414295,24.72931790513706,35.66809021244863,1.44937311703559,1.36044169031786
XGGap,0.00-0.10,134,43.28358208955223,1.082307226679667,0.655759394432908,35,26.119402985074625,0,37.46992805842416,25.267480527798075,37.26259141377775,1.4093072964894877,1.4046781553910188
XGGap,0.10-0.20,99,41.41414141414141,1.0831648953035469,0.6559972962916227,27,27.27272727272727,0,37.794043756325536,25.26931104670236,36.93664519697211,1.4086007863341639,1.3901927465072212
XGGap,0.20-0.30,91,38.46153846153847,1.0848197375911106,0.658623217055474,22,24.175824175824175,0,37.87833929335198,25.028456741273907,37.09320396537411,1.415739567070681,1.3974758206726963
XGGap,1.50+,84,73.80952380952381,0.7482502901364066,0.41827344821156165,13,15.476190476190476,0,68.84734249346816,13.82289562968248,17.32976187684937,2.4991097824727757,1.0333458274074179
